['100/150', '0.507135', '0.231012', '0.938240', '0.996699', '0.804377', '0.966489', '1.543433', '1.243802', '0.685000', '0.909100', '0.656300', '0.893100', '0:02:19']
['101/150', '0.499418', '0.226558', '0.937440', '0.997159', '0.806718', '0.965589', '1.560134', '1.255005', '0.683800', '0.907300', '0.657000', '0.895600', '0:02:19']
['102/150', '0.498494', '0.224918', '0.939521', '0.997079', '0.807238', '0.966869', '1.531420', '1.233227', '0.689200', '0.906400', '0.657700', '0.898500', '0:02:18']
['103/150', '0.487316', '0.220001', '0.939881', '0.997299', '0.811720', '0.966849', '1.517037', '1.227723', '0.689300', '0.910600', '0.659300', '0.894300', '0:02:18']
['104/150', '0.478902', '0.214723', '0.942582', '0.997499', '0.815041', '0.968130', '1.525740', '1.231402', '0.689800', '0.911600', '0.665300', '0.896000', '0:02:18']
['105/150', '0.471719', '0.210451', '0.943982', '0.997099', '0.816721', '0.967950', '1.489377', '1.203450', '0.692600', '0.914200', '0.661900', '0.898100', '0:02:18']
['106/150', '0.463051', '0.205817', '0.945563', '0.997279', '0.818762', '0.969250', '1.509201', '1.216459', '0.695500', '0.910700', '0.662700', '0.895900', '0:02:19']
['107/150', '0.462363', '0.204451', '0.945543', '0.997179', '0.819362', '0.969910', '1.513935', '1.227933', '0.695600', '0.910200', '0.662700', '0.896400', '0:02:19']
['108/150', '0.449037', '0.198571', '0.946703', '0.997579', '0.822583', '0.970571', '1.508044', '1.226368', '0.692700', '0.909700', '0.662400', '0.894200', '0:02:19']
['109/150', '0.443247', '0.197008', '0.947723', '0.997799', '0.824384', '0.970731', '1.491243', '1.212978', '0.694000', '0.913300', '0.662800', '0.897200', '0:02:18']
['110/150', '0.439178', '0.193516', '0.948063', '0.997679', '0.825844', '0.971331', '1.488068', '1.210587', '0.696300', '0.912300', '0.666300', '0.899400', '0:02:19']
['111/150', '0.433107', '0.190347', '0.949724', '0.997799', '0.829345', '0.972751', '1.520520', '1.235556', '0.697000', '0.912100', '0.664900', '0.896700', '0:02:19']
['112/150', '0.424540', '0.184823', '0.952625', '0.997859', '0.832366', '0.971931', '1.478723', '1.200657', '0.697800', '0.915100', '0.668400', '0.904200', '0:02:19']
['113/150', '0.419572', '0.183049', '0.952765', '0.997819', '0.834587', '0.972511', '1.497138', '1.220262', '0.695900', '0.912400', '0.667900', '0.899600', '0:02:19']
['114/150', '0.412184', '0.180533', '0.953385', '0.998059', '0.834807', '0.973992', '1.483992', '1.204412', '0.698000', '0.913400', '0.669500', '0.901600', '0:02:19']
['115/150', '0.405562', '0.175675', '0.955006', '0.997899', '0.838568', '0.974192', '1.507688', '1.228908', '0.695000', '0.912800', '0.662700', '0.899800', '0:02:18']
['116/150', '0.402537', '0.171889', '0.957186', '0.998039', '0.838028', '0.974332', '1.466888', '1.197670', '0.697700', '0.914900', '0.670900', '0.901300', '0:02:19']
['117/150', '0.395906', '0.170126', '0.957146', '0.998139', '0.841109', '0.975272', '1.498431', '1.224915', '0.694200', '0.911200', '0.663000', '0.898100', '0:02:19']
['118/150', '0.387093', '0.167542', '0.957446', '0.998439', '0.845391', '0.975832', '1.472984', '1.201631', '0.699800', '0.913500', '0.667500', '0.901800', '0:02:19']
['119/150', '0.383992', '0.165250', '0.957546', '0.998159', '0.845931', '0.977053', '1.466843', '1.199026', '0.701300', '0.914500', '0.670700', '0.902600', '0:02:18']
['120/150', '0.378275', '0.162817', '0.957987', '0.998480', '0.847531', '0.975632', '1.460161', '1.197527', '0.703100', '0.914600', '0.669100', '0.901600', '0:02:18']
['121/150', '0.372893', '0.156093', '0.961268', '0.998620', '0.850012', '0.977593', '1.463553', '1.197687', '0.701600', '0.913200', '0.669300', '0.903100', '0:02:19']
['122/150', '0.372361', '0.158323', '0.959567', '0.998139', '0.851212', '0.977393', '1.481512', '1.216907', '0.699500', '0.912500', '0.669000', '0.900300', '0:02:19']
['123/150', '0.366395', '0.156580', '0.960227', '0.998219', '0.853193', '0.977633', '1.452853', '1.189725', '0.702900', '0.915000', '0.672600', '0.902900', '0:02:18']
['124/150', '0.360629', '0.152512', '0.961008', '0.998640', '0.854713', '0.978893', '1.478378', '1.212270', '0.699800', '0.914000', '0.668800', '0.902200', '0:02:19']
['125/150', '0.361962', '0.153298', '0.960727', '0.998580', '0.852733', '0.977613', '1.473690', '1.208287', '0.701100', '0.913900', '0.671800', '0.900900', '0:02:19']
['126/150', '0.352653', '0.148843', '0.963028', '0.998399', '0.857614', '0.979333', '1.464820', '1.202619', '0.701700', '0.915000', '0.668300', '0.900900', '0:02:18']
['127/150', '0.348341', '0.146004', '0.964209', '0.998860', '0.858415', '0.979373', '1.468178', '1.205777', '0.702000', '0.917500', '0.672900', '0.903000', '0:02:19']
['128/150', '0.345541', '0.145086', '0.964209', '0.998860', '0.861956', '0.979573', '1.455536', '1.198386', '0.705100', '0.915700', '0.671200', '0.902400', '0:02:19']
['129/150', '0.347930', '0.148027', '0.962808', '0.998740', '0.858435', '0.979674', '1.441940', '1.187931', '0.702300', '0.915000', '0.671800', '0.902700', '0:02:18']
['130/150', '0.338684', '0.142662', '0.965049', '0.998640', '0.862996', '0.979934', '1.433537', '1.178425', '0.706400', '0.916200', '0.674700', '0.905000', '0:02:18']
['131/150', '0.337638', '0.141107', '0.965769', '0.998940', '0.861376', '0.980534', '1.450179', '1.191841', '0.703900', '0.914100', '0.673200', '0.902900', '0:02:19']
['132/150', '0.332207', '0.140393', '0.965269', '0.998840', '0.865117', '0.980114', '1.440236', '1.185621', '0.708000', '0.915200', '0.672700', '0.903600', '0:02:19']
['133/150', '0.331495', '0.139071', '0.965489', '0.998700', '0.864597', '0.981454', '1.459823', '1.201757', '0.704000', '0.914000', '0.668400', '0.903600', '0:02:18']
['134/150', '0.325803', '0.136007', '0.967470', '0.998780', '0.867177', '0.980414', '1.442027', '1.186255', '0.705300', '0.916700', '0.670800', '0.903500', '0:02:19']
['135/150', '0.326468', '0.134989', '0.967550', '0.998720', '0.865777', '0.981814', '1.456491', '1.202237', '0.701800', '0.913500', '0.669800', '0.901700', '0:02:19']
['136/150', '0.322055', '0.133694', '0.968590', '0.998760', '0.868718', '0.980314', '1.435012', '1.183027', '0.708100', '0.916900', '0.675400', '0.905400', '0:02:19']
['137/150', '0.323990', '0.135433', '0.967850', '0.998880', '0.866737', '0.981534', '1.451584', '1.196286', '0.704800', '0.915300', '0.673400', '0.901900', '0:02:19']
['138/150', '0.320335', '0.133682', '0.967590', '0.998820', '0.868418', '0.980854', '1.438950', '1.186360', '0.703800', '0.915100', '0.670600', '0.903700', '0:02:18']
['139/150', '0.319202', '0.131182', '0.967990', '0.999260', '0.868758', '0.981194', '1.437460', '1.184698', '0.706200', '0.915900', '0.672000', '0.902600', '0:02:18']
['140/150', '0.316701', '0.132300', '0.968810', '0.998920', '0.868318', '0.981454', '1.459522', '1.204814', '0.704900', '0.914300', '0.669800', '0.902200', '0:02:19']
['141/150', '0.315188', '0.132411', '0.967189', '0.998960', '0.869638', '0.981614', '1.432538', '1.182120', '0.706100', '0.915800', '0.675300', '0.903100', '0:02:19']
['142/150', '0.313520', '0.130354', '0.967930', '0.998920', '0.870098', '0.981974', '1.427530', '1.176594', '0.707600', '0.917500', '0.677500', '0.906600', '0:02:18']
['143/150', '0.317636', '0.132469', '0.968090', '0.999040', '0.867998', '0.981114', '1.439300', '1.189146', '0.706400', '0.915900', '0.675500', '0.904300', '0:02:19']
['144/150', '0.313667', '0.131142', '0.967970', '0.999000', '0.868918', '0.981394', '1.447010', '1.194003', '0.705100', '0.915600', '0.670000', '0.901500', '0:02:19']
['145/150', '0.312464', '0.130793', '0.968530', '0.999000', '0.870479', '0.981554', '1.450238', '1.199362', '0.704800', '0.913000', '0.671600', '0.903200', '0:02:19']
['146/150', '0.313359', '0.131875', '0.967850', '0.998820', '0.871159', '0.981634', '1.433929', '1.183462', '0.707700', '0.916400', '0.677100', '0.904300', '0:02:19']
['147/150', '0.309943', '0.128918', '0.969030', '0.999140', '0.870819', '0.982274', '1.444109', '1.192980', '0.705900', '0.914400', '0.674900', '0.902300', '0:02:18']
['148/150', '0.313066', '0.130440', '0.969110', '0.999060', '0.870619', '0.982174', '1.439313', '1.186742', '0.706800', '0.915800', '0.675200', '0.904300', '0:02:18']
['149/150', '0.314260', '0.132647', '0.967970', '0.998840', '0.870619', '0.981814', '1.423697', '1.176246', '0.709200', '0.915800', '0.676900', '0.905500', '0:02:19']
['150/150', '0.310163', '0.128848', '0.969670', '0.999080', '0.871719', '0.981374', '1.447790', '1.196668', '0.705300', '0.914600', '0.671700', '0.902700', '0:02:18']
