['128/150', '0.057670', '0.033403', '0.990275', '0.999899', '0.978536', '0.999597', '3.630580', '2.244895', '0.631700', '0.872400', '0.563900', '0.823000', '0:00:47']
['129/150', '0.058419', '0.035063', '0.989932', '0.999779', '0.978475', '0.999436', '2.611132', '2.255422', '0.631300', '0.871700', '0.613700', '0.864600', '0:00:48']
['130/150', '0.055393', '0.032346', '0.990798', '0.999819', '0.979764', '0.999396', '2.597253', '2.268713', '0.632200', '0.870200', '0.617000', '0.864900', '0:00:48']
['131/150', '0.053827', '0.030931', '0.991040', '0.999940', '0.979764', '0.999557', '3.009188', '2.263577', '0.631000', '0.871400', '0.576700', '0.832000', '0:00:47']
['132/150', '0.053326', '0.032016', '0.990879', '0.999839', '0.980348', '0.999396', '2.591635', '2.243959', '0.632300', '0.872000', '0.608300', '0.855700', '0:00:48']
['133/150', '0.050211', '0.028429', '0.992570', '0.999899', '0.981677', '0.999537', '2.539300', '2.260778', '0.629800', '0.871100', '0.618600', '0.864100', '0:00:48']
['134/150', '0.050560', '0.029329', '0.991483', '0.999879', '0.980892', '0.999497', '3.446130', '2.257569', '0.631800', '0.872700', '0.541500', '0.799000', '0:00:48']
['135/150', '0.049657', '0.028783', '0.992067', '0.999899', '0.980469', '0.999537', '3.551610', '2.261243', '0.633000', '0.871400', '0.543100', '0.802600', '0:00:47']
['136/150', '0.046211', '0.026998', '0.993033', '0.999819', '0.983288', '0.999577', '2.942319', '2.260988', '0.632500', '0.872200', '0.586400', '0.835300', '0:00:48']
['137/150', '0.047156', '0.026778', '0.992771', '0.999899', '0.981697', '0.999617', '2.578854', '2.256535', '0.632900', '0.872100', '0.620400', '0.868500', '0:00:49']
['138/150', '0.043701', '0.024672', '0.993396', '0.999899', '0.983811', '0.999577', '2.425116', '2.258140', '0.633400', '0.872100', '0.617900', '0.865200', '0:00:46']
['139/150', '0.043705', '0.024437', '0.993818', '1.000000', '0.983288', '0.999799', '2.385804', '2.251316', '0.635200', '0.871800', '0.622600', '0.866300', '0:00:47']
['140/150', '0.042768', '0.024829', '0.993134', '0.999899', '0.983690', '0.999678', '2.405998', '2.255393', '0.634200', '0.872800', '0.623700', '0.866800', '0:00:48']
['141/150', '0.043110', '0.025079', '0.993355', '0.999879', '0.984113', '0.999678', '2.448396', '2.255722', '0.634600', '0.871300', '0.625300', '0.868700', '0:00:48']
['142/150', '0.042732', '0.025169', '0.993174', '0.999859', '0.984274', '0.999698', '2.527661', '2.257917', '0.634100', '0.874400', '0.611100', '0.861200', '0:00:48']
['143/150', '0.042692', '0.025350', '0.993396', '0.999919', '0.983771', '0.999698', '2.402231', '2.253821', '0.634100', '0.873500', '0.626100', '0.867100', '0:00:48']
['144/150', '0.041217', '0.024262', '0.993818', '0.999859', '0.985180', '0.999718', '2.380481', '2.256451', '0.633800', '0.872600', '0.618400', '0.865100', '0:00:45']
['145/150', '0.039407', '0.022391', '0.993899', '0.999919', '0.985221', '0.999698', '2.354547', '2.244017', '0.633500', '0.874000', '0.625200', '0.868700', '0:00:45']
['146/150', '0.042909', '0.024792', '0.993396', '0.999960', '0.983892', '0.999718', '2.373252', '2.249197', '0.634600', '0.872500', '0.621100', '0.866500', '0:00:47']
['147/150', '0.041975', '0.024072', '0.994040', '0.999879', '0.984858', '0.999678', '2.368156', '2.246372', '0.633000', '0.872800', '0.620600', '0.867000', '0:00:48']
['148/150', '0.042676', '0.022968', '0.994020', '0.999919', '0.984576', '0.999678', '2.363554', '2.249306', '0.634700', '0.872900', '0.621900', '0.867700', '0:00:48']
['149/150', '0.047065', '0.021972', '0.994221', '0.999879', '0.983429', '0.999678', '2.372658', '2.245046', '0.633700', '0.872800', '0.621900', '0.866700', '0:00:48']
['150/150', '0.076560', '0.023262', '0.993637', '0.999879', '0.973260', '0.999436', '2.463867', '2.252146', '0.633600', '0.873000', '0.614500', '0.859000', '0:00:48']
